No,UI_Category,Recommended_Pattern,Style_Priority,Color_Mood,Typography_Mood,Key_Effects,Decision_Rules,Anti_Patterns,Severity,Reasoning,Confidence
93,Notes & Writing App,Minimal & Direct,Minimalism & Swiss Style + Flat Design,Clean white/cream + minimal accent + editor syntax colors,Professional + Clean hierarchy,Color shift hover + Fast 150ms transitions + No shadows,"{""if_ux_focused"":[""constraint:prioritize-clarity""],""if_mobile"":[""constraint:optimize-touch-targets""]}",Excessive decoration + Complex shadows + 3D effects,HIGH,,
94,Habit Tracker,Social Proof-Focused + Demo,Claymorphism + Vibrant & Block-based,Streak warm (amber/orange) + progress green + motivational accents,Playful + Rounded + Friendly,Multi-layer shadows + Spring bounce + Soft press 200ms,"{""if_trust_needed"":[""constraint:add-testimonials""]}",Muted colors + Low energy,HIGH,,
95,Food Delivery / On-Demand,Hero-Centric Design + Feature-Rich,Vibrant & Block-based + Motion-Driven,Appetizing warm (orange/red) + trust blue + map accent,Energetic + Bold + Large,Scroll animations + Parallax + Page transitions,"{""if_ux_focused"":[""constraint:prioritize-clarity""],""if_mobile"":[""constraint:optimize-touch-targets""]}",Muted colors + Low energy,HIGH,,
96,Ride Hailing / Transportation,Conversion-Optimized + Demo,Minimalism & Swiss Style + Glassmorphism,Brand primary + map neutral + status indicator colors,Professional + Clean hierarchy,Backdrop blur (10-20px) + Translucent overlays,"{""if_low_performance"":[""style:flat-design""],""if_conversion_focused"":[""constraint:add-urgency-colors""]}",Excessive decoration,HIGH,,
97,Recipe & Cooking App,Hero-Centric Design + Feature-Rich,Claymorphism + Vibrant & Block-based,Warm food tones (terracotta/sage/cream) + appetizing imagery,Playful + Rounded + Friendly,Multi-layer shadows + Spring bounce + Soft press 200ms,"{""if_ux_focused"":[""constraint:prioritize-clarity""],""if_mobile"":[""constraint:optimize-touch-targets""]}",Muted colors + Low energy,HIGH,,
98,Meditation & Mindfulness,Storytelling-Driven + Social Proof,Neumorphism + Soft UI Evolution,Ultra-calm pastels (lavender/sage/sky) + breathing animation gradient,Subtle + Soft + Monochromatic,Dual shadows (light+dark) + Soft press 150ms,"{""if_trust_needed"":[""constraint:add-testimonials""]}",Inconsistent styling + Poor contrast ratios,HIGH,,
99,Weather App,Hero-Centric Design,Glassmorphism + Aurora UI,Atmospheric gradients (sky blue → sunset → storm grey) + temp scale,Modern + Clear hierarchy,Backdrop blur (10-20px) + Translucent overlays,"{""if_low_performance"":[""style:flat-design""]}",Inconsistent styling + Poor contrast ratios,HIGH,,
100,Diary & Journal App,Storytelling-Driven,Soft UI Evolution + Minimalism & Swiss Style,Warm paper tones (cream/linen) + muted ink + mood-coded accents,Professional + Clean hierarchy,Subtle hover 200ms + Smooth transitions + Clean,"{""if_ux_focused"":[""constraint:prioritize-clarity""],""if_mobile"":[""constraint:optimize-touch-targets""]}",Excessive decoration,HIGH,,
101,CRM & Client Management,Feature-Rich Showcase + Demo,Flat Design + Minimalism & Swiss Style,Professional blue + pipeline stage colors + closed-won green,Professional + Clean hierarchy,Color shift hover + Fast 150ms transitions + No shadows,"{""if_ux_focused"":[""constraint:prioritize-clarity""],""if_mobile"":[""constraint:optimize-touch-targets""]}",Excessive decoration + Complex shadows + 3D effects,HIGH,,
102,Inventory & Stock Management,Feature-Rich Showcase,Flat Design + Minimalism & Swiss Style,Functional neutral + status traffic-light (green/amber/red) + scanner accent,Professional + Clean hierarchy,Color shift hover + Fast 150ms transitions + No shadows,"{""if_ux_focused"":[""constraint:prioritize-clarity""],""if_mobile"":[""constraint:optimize-touch-targets""]}",Excessive decoration + Complex shadows + 3D effects,HIGH,,
103,Flashcard & Study Tool,Feature-Rich Showcase + Demo,Claymorphism + Micro-interactions,Playful primary + correct green + incorrect red + progress blue,Playful + Rounded + Friendly,Multi-layer shadows + Spring bounce + Soft press 200ms,"{""if_ux_focused"":[""constraint:prioritize-clarity""],""if_mobile"":[""constraint:optimize-touch-targets""]}",Inconsistent styling + Poor contrast ratios,HIGH,,
104,Booking & Appointment App,Conversion-Optimized,Soft UI Evolution + Flat Design,Trust blue + available green + booked grey + confirm accent,Bold + Clean + Sans-serif,Color shift hover + Fast 150ms transitions + No shadows,"{""if_conversion_focused"":[""constraint:add-urgency-colors""]}",Complex shadows + 3D effects,HIGH,,
105,Invoice & Billing Tool,Conversion-Optimized + Trust,Minimalism & Swiss Style + Flat Design,Professional navy + paid green + overdue red + neutral grey,Professional + Clean hierarchy,Color shift hover + Fast 150ms transitions + No shadows,"{""if_conversion_focused"":[""constraint:add-urgency-colors""]}",Excessive decoration + Complex shadows + 3D effects,HIGH,,
106,Grocery & Shopping List,Minimal & Direct + Demo,Flat Design + Vibrant & Block-based,Fresh green + food-category colors + checkmark accent,Bold + Clean + Sans-serif,Color shift hover + Fast 150ms transitions + No shadows,"{""if_ux_focused"":[""constraint:prioritize-clarity""],""if_mobile"":[""constraint:optimize-touch-targets""]}",Complex shadows + 3D effects + Muted colors + Low energy,HIGH,,
107,Timer & Pomodoro,Minimal & Direct,Minimalism & Swiss Style + Neumorphism,High-contrast on dark + focus red/amber + break green,Professional + Clean hierarchy,Dual shadows (light+dark) + Soft press 150ms,"{""if_ux_focused"":[""constraint:prioritize-clarity""],""if_mobile"":[""constraint:optimize-touch-targets""]}",Excessive decoration,HIGH,,
108,Parenting & Baby Tracker,Social Proof-Focused + Trust,Claymorphism + Soft UI Evolution,Soft pastels (baby pink/sky blue/mint/peach) + warm accents,Playful + Rounded + Friendly,Multi-layer shadows + Spring bounce + Soft press 200ms,"{""if_trust_needed"":[""constraint:add-testimonials""]}",Inconsistent styling + Poor contrast ratios,HIGH,,
109,Scanner & Document Manager,Feature-Rich Showcase + Demo,Minimalism & Swiss Style + Flat Design,Clean white + camera viewfinder accent + file-type color coding,Professional + Clean hierarchy,Color shift hover + Fast 150ms transitions + No shadows,"{""if_ux_focused"":[""constraint:prioritize-clarity""],""if_mobile"":[""constraint:optimize-touch-targets""]}",Excessive decoration + Complex shadows + 3D effects,HIGH,,
110,Calendar & Scheduling App,Feature-Rich Showcase + Demo,Flat Design + Micro-interactions,Clean blue + event category accent colors + success green,Bold + Clean + Sans-serif,Color shift hover + Fast 150ms transitions + No shadows,"{""if_ux_focused"":[""constraint:prioritize-clarity""],""if_mobile"":[""constraint:optimize-touch-targets""]}",Complex shadows + 3D effects,HIGH,,
111,Password Manager,Trust & Authority + Feature-Rich,Minimalism & Swiss Style + Accessible & Ethical,Trust blue + security green + dark neutral,Professional + Clean hierarchy,Subtle hover 200ms + Smooth transitions + Clean,"{""if_ux_focused"":[""constraint:prioritize-clarity""],""if_mobile"":[""constraint:optimize-touch-targets""]}",Excessive decoration + Color-only indicators,HIGH,,
112,Expense Splitter / Bill Split,Minimal & Direct + Demo,Flat Design + Vibrant & Block-based,Success green + alert red + neutral grey + avatar accent colors,Bold + Clean + Sans-serif,Color shift hover + Fast 150ms transitions + No shadows,"{""if_ux_focused"":[""constraint:prioritize-clarity""],""if_mobile"":[""constraint:optimize-touch-targets""]}",Complex shadows + 3D effects + Muted colors + Low energy,HIGH,,
113,Voice Recorder & Memo,Interactive Product Demo + Minimal,Minimalism & Swiss Style + AI-Native UI,Clean white + recording red + waveform accent,Professional + Clean hierarchy,Subtle hover 200ms + Smooth transitions + Clean,"{""if_ux_focused"":[""constraint:prioritize-clarity""],""if_mobile"":[""constraint:optimize-touch-targets""]}",Excessive decoration,HIGH,,
114,Bookmark & Read-Later,Minimal & Direct + Demo,Minimalism & Swiss Style + Flat Design,Paper warm white + ink neutral + minimal accent + tag colors,Professional + Clean hierarchy,Color shift hover + Fast 150ms transitions + No shadows,"{""if_ux_focused"":[""constraint:prioritize-clarity""],""if_mobile"":[""constraint:optimize-touch-targets""]}",Excessive decoration + Complex shadows + 3D effects,HIGH,,
115,Translator App,Feature-Rich Showcase + Interactive Demo,Flat Design + AI-Native UI,Global blue + neutral grey + language flag accent,Bold + Clean + Sans-serif,Color shift hover + Fast 150ms transitions + No shadows,"{""if_ux_focused"":[""constraint:prioritize-clarity""],""if_mobile"":[""constraint:optimize-touch-targets""]}",Complex shadows + 3D effects,HIGH,,
116,Calculator & Unit Converter,Minimal & Direct,Neumorphism + Minimalism & Swiss Style,Dark functional + orange operation keys + clear button hierarchy,Professional + Clean hierarchy,Dual shadows (light+dark) + Soft press 150ms,"{""if_ux_focused"":[""constraint:prioritize-clarity""],""if_mobile"":[""constraint:optimize-touch-targets""]}",Excessive decoration,HIGH,,
117,Alarm & World Clock,Minimal & Direct,Dark Mode (OLED) + Minimalism & Swiss Style,Deep dark + ambient glow accent + timezone gradient,Professional + Clean hierarchy,Subtle glow + Neon accents + High contrast,"{""if_light_mode_needed"":[""constraint:provide-theme-toggle""]}",Excessive decoration + Pure white backgrounds,HIGH,,
118,File Manager & Transfer,Feature-Rich Showcase + Demo,Flat Design + Minimalism & Swiss Style,"Functional neutral + file type color coding (PDF orange, doc blue, image purple)",Professional + Clean hierarchy,Color shift hover + Fast 150ms transitions + No shadows,"{""if_ux_focused"":[""constraint:prioritize-clarity""],""if_mobile"":[""constraint:optimize-touch-targets""]}",Excessive decoration + Complex shadows + 3D effects,HIGH,,
119,Email Client,Feature-Rich Showcase + Demo,Flat Design + Minimalism & Swiss Style,Clean white + brand primary + priority red + snooze amber,Professional + Clean hierarchy,Color shift hover + Fast 150ms transitions + No shadows,"{""if_ux_focused"":[""constraint:prioritize-clarity""],""if_mobile"":[""constraint:optimize-touch-targets""]}",Excessive decoration + Complex shadows + 3D effects,HIGH,,
120,Casual Puzzle Game,Feature-Rich Showcase + Social Proof,Claymorphism + Vibrant & Block-based,Cheerful pastels + progression gradient + reward gold + bright accent,Playful + Rounded + Friendly,Multi-layer shadows + Spring bounce + Soft press 200ms,"{""if_trust_needed"":[""constraint:add-testimonials""]}",Muted colors + Low energy,HIGH,,
121,Trivia & Quiz Game,Feature-Rich Showcase + Social Proof,Vibrant & Block-based + Micro-interactions,Energetic blue + correct green + incorrect red + leaderboard gold,Energetic + Bold + Large,Haptic feedback + Small 50-100ms animations,"{""if_trust_needed"":[""constraint:add-testimonials""]}",Muted colors + Low energy,HIGH,,
122,Card & Board Game,Feature-Rich Showcase,3D & Hyperrealism + Flat Design,Game-theme felt green + dark wood + card back patterns,Bold + Clean + Sans-serif,Color shift hover + Fast 150ms transitions + No shadows,"{""if_ux_focused"":[""constraint:prioritize-clarity""],""if_mobile"":[""constraint:optimize-touch-targets""]}",Complex shadows + 3D effects,HIGH,,
123,Idle & Clicker Game,Feature-Rich Showcase,Vibrant & Block-based + Motion-Driven,Coin gold + upgrade blue + prestige purple + progress green,Energetic + Bold + Large,Scroll animations + Parallax + Page transitions,"{""if_ux_focused"":[""constraint:prioritize-clarity""],""if_mobile"":[""constraint:optimize-touch-targets""]}",Muted colors + Low energy,HIGH,,
124,Word & Crossword Game,Minimal & Direct + Demo,Minimalism & Swiss Style + Flat Design,Clean white + warm letter tiles + success green + shake red,Professional + Clean hierarchy,Color shift hover + Fast 150ms transitions + No shadows,"{""if_ux_focused"":[""constraint:prioritize-clarity""],""if_mobile"":[""constraint:optimize-touch-targets""]}",Excessive decoration + Complex shadows + 3D effects,HIGH,,
125,Arcade & Retro Game,Feature-Rich Showcase + Hero-Centric,Pixel Art + Retro-Futurism,Neon on black + pixel palette + score gold + danger red,Nostalgic + Monospace + Neon,Subtle hover (200ms) + Smooth transitions,"{""if_ux_focused"":[""constraint:prioritize-clarity""],""if_mobile"":[""constraint:optimize-touch-targets""]}",Inconsistent styling + Poor contrast ratios,HIGH,,
126,Photo Editor & Filters,Feature-Rich Showcase + Interactive Demo,Minimalism & Swiss Style + Dark Mode (OLED),Dark editor background + vibrant filter preview strip + tool icon accent,Professional + Clean hierarchy,Subtle glow + Neon accents + High contrast,"{""if_light_mode_needed"":[""constraint:provide-theme-toggle""]}",Excessive decoration + Pure white backgrounds,HIGH,,
127,Short Video Editor,Feature-Rich Showcase + Hero-Centric,Dark Mode (OLED) + Motion-Driven,Dark background + timeline track accent colors + effect preview vivid,High contrast + Light on dark,Subtle glow + Neon accents + High contrast,"{""if_light_mode_needed"":[""constraint:provide-theme-toggle""]}",Pure white backgrounds,HIGH,,
128,Drawing & Sketching Canvas,Interactive Product Demo + Storytelling,Minimalism & Swiss Style + Dark Mode (OLED),Neutral canvas + full-spectrum color picker + tool panel dark,Professional + Clean hierarchy,Subtle glow + Neon accents + High contrast,"{""if_light_mode_needed"":[""constraint:provide-theme-toggle""]}",Excessive decoration + Pure white backgrounds,HIGH,,
129,Music Creation & Beat Maker,Interactive Product Demo + Storytelling,Dark Mode (OLED) + Motion-Driven,Dark studio background + track colors rainbow + waveform accent + BPM pulse,High contrast + Light on dark,Subtle glow + Neon accents + High contrast,"{""if_light_mode_needed"":[""constraint:provide-theme-toggle""]}",Pure white backgrounds,HIGH,,
130,Meme & Sticker Maker,Feature-Rich Showcase + Social Proof,Vibrant & Block-based + Flat Design,Bold primary + comedic yellow + viral red + high saturation accent,Bold + Clean + Sans-serif,Color shift hover + Fast 150ms transitions + No shadows,"{""if_trust_needed"":[""constraint:add-testimonials""]}",Complex shadows + 3D effects + Muted colors + Low energy,HIGH,,
131,AI Photo & Avatar Generator,Feature-Rich Showcase + Social Proof,AI-Native UI + Aurora UI,AI purple + aurora gradients + before/after neutral,Elegant + Gradient-friendly,Flowing gradients 8-12s + Color morphing,"{""if_trust_needed"":[""constraint:add-testimonials""]}",Inconsistent styling + Poor contrast ratios,HIGH,,
132,Link-in-Bio Page Builder,Conversion-Optimized + Social Proof,Vibrant & Block-based + Bento Box Grid,Brand-customizable + accent link color + clean white canvas,Energetic + Bold + Large,Large section gaps 48px+ + Color shift hover + Scroll-snap,"{""if_conversion_focused"":[""constraint:add-urgency-colors""],""if_trust_needed"":[""constraint:add-testimonials""]}",Muted colors + Low energy,HIGH,,
133,Wardrobe & Outfit Planner,Storytelling-Driven + Feature-Rich,Minimalism & Swiss Style + Motion-Driven,Clean fashion neutral + full clothes color palette + accent,Professional + Clean hierarchy,Subtle hover 200ms + Smooth transitions + Clean,"{""if_ux_focused"":[""constraint:prioritize-clarity""],""if_mobile"":[""constraint:optimize-touch-targets""]}",Excessive decoration,HIGH,,
134,Plant Care Tracker,Storytelling-Driven + Social Proof,Organic Biophilic + Soft UI Evolution,Nature greens + earth brown + sunny yellow reminder + water blue,Warm + Humanist + Natural,Rounded 16-24px + Natural shadows + Flowing SVG,"{""if_trust_needed"":[""constraint:add-testimonials""]}",Inconsistent styling + Poor contrast ratios,HIGH,,
135,Book & Reading Tracker,Social Proof-Focused + Feature-Rich,Swiss Modernism 2.0 + Minimalism & Swiss Style,Warm paper white + ink brown + reading progress green + book cover colors,Professional + Clean hierarchy,Subtle hover 200ms + Smooth transitions + Clean,"{""if_trust_needed"":[""constraint:add-testimonials""]}",Excessive decoration,HIGH,,
136,Couple & Relationship App,Storytelling-Driven + Social Proof,Aurora UI + Soft UI Evolution,Warm romantic pink/rose + soft gradient + memory photo tones,Elegant + Gradient-friendly,Flowing gradients 8-12s + Color morphing,"{""if_trust_needed"":[""constraint:add-testimonials""]}",Inconsistent styling + Poor contrast ratios,HIGH,,
137,Family Calendar & Chores,Feature-Rich Showcase + Social Proof,Flat Design + Claymorphism,Warm playful + member color coding + chore completion green,Playful + Rounded + Friendly,Multi-layer shadows + Spring bounce + Soft press 200ms,"{""if_trust_needed"":[""constraint:add-testimonials""]}",Complex shadows + 3D effects,HIGH,,
138,Mood Tracker,Storytelling-Driven + Social Proof,Soft UI Evolution + Minimalism & Swiss Style,Emotion gradient (blue sad to yellow happy) + pastel per mood + insight accent,Professional + Clean hierarchy,Subtle hover 200ms + Smooth transitions + Clean,"{""if_trust_needed"":[""constraint:add-testimonials""]}",Excessive decoration,HIGH,,
139,Gift & Wishlist,Minimal & Direct + Conversion,Vibrant & Block-based + Soft UI Evolution,Celebration warm pink/gold/red + category colors + surprise accent,Energetic + Bold + Large,Large section gaps 48px+ + Color shift hover + Scroll-snap,"{""if_conversion_focused"":[""constraint:add-urgency-colors""]}",Muted colors + Low energy,HIGH,,
140,Running & Cycling GPS,Feature-Rich Showcase + Social Proof,Dark Mode (OLED) + Vibrant & Block-based,Energetic orange + map accent + pace zones (green/yellow/red),High contrast + Light on dark,Subtle glow + Neon accents + High contrast,"{""if_light_mode_needed"":[""constraint:provide-theme-toggle""],""if_trust_needed"":[""constraint:add-testimonials""]}",Pure white backgrounds + Muted colors + Low energy,HIGH,,
141,Yoga & Stretching Guide,Storytelling-Driven + Social Proof,Organic Biophilic + Soft UI Evolution,Earth calming sage/terracotta/cream + breathing gradient + warm accent,Warm + Humanist + Natural,Rounded 16-24px + Natural shadows + Flowing SVG,"{""if_trust_needed"":[""constraint:add-testimonials""]}",Inconsistent styling + Poor contrast ratios,HIGH,,
142,Sleep Tracker,Feature-Rich Showcase + Social Proof,Dark Mode (OLED) + Neumorphism,Deep midnight blue + stars/moon accent + sleep quality gradient (poor red to great green),High contrast + Light on dark,Dual shadows (light+dark) + Soft press 150ms,"{""if_light_mode_needed"":[""constraint:provide-theme-toggle""],""if_trust_needed"":[""constraint:add-testimonials""]}",Pure white backgrounds,HIGH,,
143,Calorie & Nutrition Counter,Feature-Rich Showcase + Social Proof,Flat Design + Vibrant & Block-based,"Healthy green + macro colors (protein blue, carb orange, fat yellow) + progress circle",Bold + Clean + Sans-serif,Color shift hover + Fast 150ms transitions + No shadows,"{""if_trust_needed"":[""constraint:add-testimonials""]}",Complex shadows + 3D effects + Muted colors + Low energy,HIGH,,
144,Period & Cycle Tracker,Social Proof-Focused + Trust,Soft UI Evolution + Aurora UI,Rose/blush + lavender + fertility green + soft calendar tones,Elegant + Gradient-friendly,Flowing gradients 8-12s + Color morphing,"{""if_trust_needed"":[""constraint:add-testimonials""]}",Inconsistent styling + Poor contrast ratios,HIGH,,
145,Medication & Pill Reminder,Trust & Authority + Feature-Rich,Accessible & Ethical + Flat Design,Medical trust blue + missed alert red + taken green + clean white,Bold + Clean + Sans-serif,Color shift hover + Fast 150ms transitions + No shadows,"{""if_ux_focused"":[""constraint:prioritize-clarity""],""if_mobile"":[""constraint:optimize-touch-targets""]}",Complex shadows + 3D effects + Color-only indicators,HIGH,,
146,Water & Hydration Reminder,Minimal & Direct + Demo,Claymorphism + Vibrant & Block-based,Refreshing blue + water wave animation + goal progress accent,Playful + Rounded + Friendly,Multi-layer shadows + Spring bounce + Soft press 200ms,"{""if_ux_focused"":[""constraint:prioritize-clarity""],""if_mobile"":[""constraint:optimize-touch-targets""]}",Muted colors + Low energy,HIGH,,
147,Fasting & Intermittent Timer,Feature-Rich Showcase + Social Proof,Minimalism & Swiss Style + Dark Mode (OLED),Fasting deep blue/purple + eating window green + timeline neutral,Professional + Clean hierarchy,Subtle glow + Neon accents + High contrast,"{""if_light_mode_needed"":[""constraint:provide-theme-toggle""],""if_trust_needed"":[""constraint:add-testimonials""]}",Excessive decoration + Pure white backgrounds,HIGH,,
148,Anonymous Community / Confession,Social Proof-Focused + Feature-Rich,Dark Mode (OLED) + Minimalism & Swiss Style,Dark protective + subtle gradient + upvote green + empathy warm accent,Professional + Clean hierarchy,Subtle glow + Neon accents + High contrast,"{""if_light_mode_needed"":[""constraint:provide-theme-toggle""],""if_trust_needed"":[""constraint:add-testimonials""]}",Excessive decoration + Pure white backgrounds,HIGH,,
149,Local Events & Discovery,Hero-Centric Design + Feature-Rich,Vibrant & Block-based + Motion-Driven,City vibrant + event category colors + map accent + date highlight,Energetic + Bold + Large,Scroll animations + Parallax + Page transitions,"{""if_ux_focused"":[""constraint:prioritize-clarity""],""if_mobile"":[""constraint:optimize-touch-targets""]}",Muted colors + Low energy,HIGH,,
150,Study Together / Virtual Coworking,Social Proof-Focused + Feature-Rich,Minimalism & Swiss Style + Soft UI Evolution,Calm focus blue + session progress indicator + ambient warm neutrals,Professional + Clean hierarchy,Subtle hover 200ms + Smooth transitions + Clean,"{""if_trust_needed"":[""constraint:add-testimonials""]}",Excessive decoration,HIGH,,
151,Coding Challenge & Practice,Feature-Rich Showcase + Social Proof,Dark Mode (OLED) + Cyberpunk UI,Code editor dark + success green + difficulty gradient (easy green / medium amber / hard red),High contrast + Light on dark,Subtle glow + Neon accents + High contrast,"{""if_light_mode_needed"":[""constraint:provide-theme-toggle""],""if_trust_needed"":[""constraint:add-testimonials""]}",Pure white backgrounds,HIGH,,
152,Kids Learning (ABC & Math),Social Proof-Focused + Trust,Claymorphism + Vibrant & Block-based,Bright primary + child-safe pastels + reward gold + interactive accent,Playful + Rounded + Friendly,Multi-layer shadows + Spring bounce + Soft press 200ms,"{""if_trust_needed"":[""constraint:add-testimonials""]}",Muted colors + Low energy,HIGH,,
153,Music Instrument Learning,Interactive Product Demo + Social Proof,Vibrant & Block-based + Motion-Driven,Musical warm deep red/brown + note color system + skill progress bar,Energetic + Bold + Large,Scroll animations + Parallax + Page transitions,"{""if_trust_needed"":[""constraint:add-testimonials""]}",Muted colors + Low energy,HIGH,,
154,Parking Finder,Conversion-Optimized + Feature-Rich,Minimalism & Swiss Style + Glassmorphism,Trust blue + available green + occupied red + map neutral,Professional + Clean hierarchy,Backdrop blur (10-20px) + Translucent overlays,"{""if_low_performance"":[""style:flat-design""],""if_conversion_focused"":[""constraint:add-urgency-colors""]}",Excessive decoration,HIGH,,
155,Public Transit Guide,Feature-Rich Showcase + Interactive Demo,Flat Design + Accessible & Ethical,Transit brand line colors + real-time indicator green/red + map neutral,Bold + Clean + Sans-serif,Color shift hover + Fast 150ms transitions + No shadows,"{""if_ux_focused"":[""constraint:prioritize-clarity""],""if_mobile"":[""constraint:optimize-touch-targets""]}",Complex shadows + 3D effects + Color-only indicators,HIGH,,
156,Road Trip Planner,Storytelling-Driven + Hero-Centric,Aurora UI + Organic Biophilic,Adventure warm sunset orange + map teal + stop markers + road neutral,Elegant + Gradient-friendly,Flowing gradients 8-12s + Color morphing,"{""if_ux_focused"":[""constraint:prioritize-clarity""],""if_mobile"":[""constraint:optimize-touch-targets""]}",Inconsistent styling + Poor contrast ratios,HIGH,,
157,VPN & Privacy Tool,Trust & Authority + Conversion-Optimized,Minimalism & Swiss Style + Dark Mode (OLED),Dark shield blue + connected green + disconnected red + trust accent,Professional + Clean hierarchy,Subtle glow + Neon accents + High contrast,"{""if_light_mode_needed"":[""constraint:provide-theme-toggle""],""if_conversion_focused"":[""constraint:add-urgency-colors""]}",Excessive decoration + Pure white backgrounds,HIGH,,
158,Emergency SOS & Safety,Trust & Authority + Social Proof,Accessible & Ethical + Flat Design,Alert red + safety blue + location green + high contrast critical,Bold + Clean + Sans-serif,Color shift hover + Fast 150ms transitions + No shadows,"{""if_trust_needed"":[""constraint:add-testimonials""]}",Complex shadows + 3D effects + Color-only indicators,HIGH,,
159,Wallpaper & Theme App,Feature-Rich Showcase + Social Proof,Vibrant & Block-based + Aurora UI,Content-driven + trending aesthetic palettes + download accent,Energetic + Bold + Large,Large section gaps 48px+ + Color shift hover + Scroll-snap,"{""if_trust_needed"":[""constraint:add-testimonials""]}",Muted colors + Low energy,HIGH,,
160,White Noise & Ambient Sound,Minimal & Direct + Social Proof,Minimalism & Swiss Style + Dark Mode (OLED),Calming dark + ambient texture visual + subtle sound wave + sleep blue,Professional + Clean hierarchy,Subtle glow + Neon accents + High contrast,"{""if_light_mode_needed"":[""constraint:provide-theme-toggle""],""if_trust_needed"":[""constraint:add-testimonials""]}",Excessive decoration + Pure white backgrounds,HIGH,,
161,Home Decoration & Interior Design,Storytelling-Driven + Feature-Rich,Minimalism & Swiss Style + 3D Product Preview,Neutral interior palette + material texture accent + AR blue,Professional + Clean hierarchy,Subtle hover 200ms + Smooth transitions + Clean,"{""if_ux_focused"":[""constraint:prioritize-clarity""],""if_mobile"":[""constraint:optimize-touch-targets""]}",Excessive decoration,HIGH,,
162,Academic Journal / Scholarly Publishing,Newsletter / Content First,Swiss Modernism 2.0 + Accessible & Ethical,Trust navy + White + Citation blue + Serif accents,Serif body + Formal hierarchy,Search highlight + Smooth scrolling,"{""must_have"":[""constraint:abstract-doi-prominence"",""constraint:citation-links"",""constraint:search-first"",""constraint:wcag-aaa"",""constraint:issue-browse""],""if_content_focused"":[""constraint:prioritize-clarity""],""if_trust_needed"":[""constraint:reduce-motion""]}",Low contrast + Visual clutter + motion-heavy chrome,MEDIUM,academic credibility needs searchable citation-first navigation and restrained motion,0.88
163,API Developer Portal,FAQ/Documentation Landing,Minimalism & Swiss Style + Glassmorphism,Dark code theme + Brand accent + Syntax colors,Monospace + Clear typography,Syntax highlighting + Copy-to-clipboard samples,"{""must_have"":[""constraint:endpoint-discoverability"",""constraint:code-samples"",""constraint:auth-flow-clarity"",""constraint:version-switching"",""constraint:rate-limit-visibility""],""if_trust_needed"":[""constraint:prioritize-clarity""],""if_ux_focused"":[""style:flat-design""]}",Buried endpoints + Broken version switching + missing rate-limit state,HIGH,developer docs win on immediate code reuse and predictable auth/version discovery,0.92
164,Forum / Discussion Board,Community/Forum Landing,Dark Mode (OLED) + Flat Design,Dark neutral + topic accent colors + unread indicator + reputation badge,Readable + Community-first typography,Thread expand/collapse + Reply composer cues,"{""must_have"":[""constraint:thread-list"",""constraint:reply-composer"",""constraint:vote-signals"",""constraint:moderation-tools"",""constraint:user-badges""],""if_content_focused"":[""constraint:prioritize-clarity""],""if_ux_focused"":[""constraint:optimize-touch-targets""]}",No moderation cues + cluttered threads + hidden post state,HIGH,"discussion UX depends on scan-friendly threads, reputation cues, and visible moderation states",0.93
165,Directory / Listing Site,Marketplace / Directory,Flat Design + Bento Box Grid,Neutral bg + category color chips + map accent + verified badge,Scan-friendly + Neutral typography,Filter chips + Map/list toggle,"{""must_have"":[""constraint:category-tree"",""constraint:multi-filter-sidebar"",""constraint:map-list-toggle"",""constraint:verified-badges"",""constraint:claim-listing""],""if_discovery_focused"":[""constraint:prioritize-clarity""],""if_mobile"":[""constraint:optimize-touch-targets""]}",No trust cues + Text-heavy cards + hidden filters,HIGH,"listings live or die on discovery speed, trust cues, and clear sort/filter affordances",0.93
166,Status Page / Incident Management,Real-Time / Operations Landing,Dark Mode (OLED) + Data-Dense Dashboard,Status green + incident red + maintenance amber + neutral dark,Functional + Status typography,Status matrix + incident timeline transitions,"{""must_have"":[""constraint:service-status-matrix"",""constraint:incident-timeline"",""constraint:severity-badges"",""constraint:maintenance-schedule"",""constraint:uptime-history""],""if_trust_needed"":[""constraint:prioritize-clarity""],""if_dashboard"":[""constraint:red-alert-colors""]}",Slow dashboards + decorative charts + hidden error states,HIGH,operators need instant state recognition and a reliable incident chronology,0.94
167,Wiki / Encyclopedia,FAQ/Documentation Landing,Swiss Modernism 2.0 + Accessible & Ethical,Clean white + link blue + heading hierarchy + citation grey,Clear + Hierarchical typography,Table of contents sticky nav + search highlight,"{""must_have"":[""constraint:full-text-search"",""constraint:toc-sidebar"",""constraint:edit-history"",""constraint:interpage-linking"",""constraint:print-friendly""],""if_content_focused"":[""constraint:prioritize-clarity""],""if_ux_focused"":[""constraint:virtualize-lists""]}",No search + flat hierarchy + noisy page chrome,MEDIUM,"reference content needs search, hierarchy, and low-friction cross-linking",0.91
168,Auction Platform,Real-Time / Operations Landing,Dark Mode (OLED) + Motion-Driven,Dark bg + bid green + outbid red + countdown amber,Bold + Urgent typography,Countdown timer + live bid updates,"{""must_have"":[""constraint:live-bid-updates"",""constraint:countdown-timer"",""constraint:auto-bid-ceiling"",""constraint:outbid-notifications"",""constraint:bid-history""],""if_conversion_focused"":[""constraint:add-urgency-colors""],""if_mobile"":[""constraint:optimize-touch-targets""]}",Static design + No bid state + poor mobile,HIGH,"auction flows need urgency, status clarity, and instant feedback on bid changes",0.93
